"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app-routing.module.ts", "TypeScript", 0, 38, 0, 0, 3, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.html", "HTML", 0, 0, 134, 0, 1, 135
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.scss", "SCSS", 57, 0, 0, 0, 10, 67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.spec.ts", "TypeScript", 0, 29, 0, 0, 5, 34
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.ts", "TypeScript", 0, 38, 0, 0, 5, 43
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.server.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.ts", "TypeScript", 0, 123, 0, 0, 4, 127
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.html", "HTML", 0, 0, 186, 0, 4, 190
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.scss", "SCSS", 39, 0, 0, 0, 7, 46
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.ts", "TypeScript", 0, 257, 0, 0, 18, 275
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.html", "HTML", 0, 0, 272, 0, 6, 278
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.scss", "SCSS", 146, 0, 0, 0, 25, 171
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.ts", "TypeScript", 0, 432, 0, 0, 22, 454
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.html", "HTML", 0, 0, 384, 0, 15, 399
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.scss", "SCSS", 1, 0, 0, 0, 1, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.ts", "TypeScript", 0, 269, 0, 0, 8, 277
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.html", "HTML", 0, 0, 65, 0, 2, 67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.scss", "SCSS", 73, 0, 0, 0, 13, 86
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.ts", "TypeScript", 0, 110, 0, 0, 7, 117
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.html", "HTML", 0, 0, 92, 0, 2, 94
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.scss", "SCSS", 127, 0, 0, 0, 18, 145
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.ts", "TypeScript", 0, 148, 0, 0, 12, 160
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\confirm-email\confirm-email.component.html", "HTML", 0, 0, 0, 0, 1, 1
