"filename", "language", "MSBuild", "JSON", "C#", "SQL", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.csproj", "MSBuild", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\ChatController.cs", "C#", 0, 0, 14, 0, 0, 2, 16
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\PaymentController.cs", "C#", 0, 0, 5, 0, 0, -1, 4
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Data\db_sheme.sql", "SQL", 0, 0, 0, 1169, 0, 0, 1169
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303113743_UserInfo.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303114439_Init.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303170547_PasswordReset.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309104956_EmailConfirm.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110353_EmailConfirmfix.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110724_EmailConfirmfixv2.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309141517_auctionLikes.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309164102_auctionComments.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309182852_auctionCommentsv2.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309185752_auctionCommentsv3.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.cs", "C#", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.cs", "C#", 0, 0, 2, 0, 0, -1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.cs", "C#", 0, 0, 2, 0, 0, -1, 1
