"filename", "language", "C#", "JSON", "MSBuild", "EditorConfig", "SQL", "Solution File", "HTTP", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\.embold\vscode-logs.log", "Log", 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.csproj", "MSBuild", 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.http", "HTTP", 0, 0, 0, 0, 0, 0, 3, 0, 1, 3, 7
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.sln", "Solution File", 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\JwtTokenService.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 1, 4, 47
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\AuthDtos.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ForumRestUser.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ForumRoles.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\IUserOwnedResource.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\PolicyNames.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ResetPasswordDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\ResourceOwnerAuthorizationHandler.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AdminController.cs", "C#", 133, 0, 0, 0, 0, 0, 0, 0, 0, 10, 143
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AuctionController.cs", "C#", 482, 0, 0, 0, 0, 0, 0, 0, 3, 48, 533
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AuthController.cs", "C#", 337, 0, 0, 0, 0, 0, 0, 0, 2, 28, 367
