Date : 2024-05-14 20:45:48
Directory : c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas
Total : 145 files,  32081 codes, 238 comments, 6300 blanks, all 38619 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C#            |        122 |     20,289 |        215 |      6,276 |     26,780 |
| JSON          |         10 |     10,418 |          0 |          5 |     10,423 |
| SQL           |          2 |      1,198 |         22 |          6 |      1,226 |
| MSBuild       |          7 |        116 |          0 |          5 |        121 |
| Solution File |          1 |         24 |          0 |          2 |         26 |
| EditorConfig  |          1 |         19 |          0 |          1 |         20 |
| Log           |          1 |         14 |          0 |          2 |         16 |
| HTTP          |          1 |          3 |          1 |          3 |          7 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |        145 |     32,081 |        238 |      6,300 |     38,619 |
| . (Files)                                                                                                                                                 |          6 |        237 |          1 |         29 |        267 |
| .embold                                                                                                                                                   |          1 |         14 |          0 |          2 |         16 |
| Auth                                                                                                                                                      |          8 |        142 |          1 |         19 |        162 |
| Auth (Files)                                                                                                                                              |          2 |         61 |          1 |          6 |         68 |
| Auth\Model                                                                                                                                                |          6 |         81 |          0 |         13 |         94 |
| Controllers                                                                                                                                               |          7 |      1,632 |          6 |        151 |      1,789 |
| Data                                                                                                                                                      |          4 |      1,263 |         22 |         17 |      1,302 |
| Migrations                                                                                                                                                |         75 |     17,183 |        186 |      5,930 |     23,299 |
| Models                                                                                                                                                    |         10 |        228 |          0 |         16 |        244 |
| Properties                                                                                                                                                |          1 |         41 |          0 |          1 |         42 |
| Services                                                                                                                                                  |          6 |        454 |          0 |         42 |        496 |
| Utils                                                                                                                                                     |          9 |        428 |          0 |         77 |        505 |
| Utils (Files)                                                                                                                                             |          8 |        420 |          0 |         73 |        493 |
| Utils\ConfigOptions                                                                                                                                       |          1 |          8 |          0 |          4 |         12 |
| bin                                                                                                                                                       |          4 |      2,748 |          0 |          2 |      2,750 |
| bin\Debug                                                                                                                                                 |          4 |      2,748 |          0 |          2 |      2,750 |
| bin\Debug\net8.0                                                                                                                                          |          4 |      2,748 |          0 |          2 |      2,750 |
| obj                                                                                                                                                       |         14 |      7,711 |         22 |         14 |      7,747 |
| obj (Files)                                                                                                                                               |          5 |      7,640 |          0 |          1 |      7,641 |
| obj\Debug                                                                                                                                                 |          9 |         71 |         22 |         13 |        106 |
| obj\Debug\net8.0                                                                                                                                          |          9 |         71 |         22 |         13 |        106 |
| obj\Debug\net8.0 (Files)                                                                                                                                  |          6 |         62 |         22 |         13 |         97 |
| obj\Debug\net8.0\staticwebassets                                                                                                                          |          3 |          9 |          0 |          0 |          9 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                  | language      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\.embold\vscode-logs.log                                                      | Log           |         14 |          0 |          2 |         16 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.csproj                                                             | MSBuild       |         35 |          0 |          4 |         39 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.http                                                               | HTTP          |          3 |          1 |          3 |          7 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Aukcionas.sln                                                                | Solution File |         24 |          0 |          2 |         26 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\JwtTokenService.cs                                                      | C#            |         42 |          1 |          4 |         47 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\AuthDtos.cs                                                       | C#            |          8 |          0 |          5 |         13 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ForumRestUser.cs                                                  | C#            |         40 |          0 |          3 |         43 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ForumRoles.cs                                                     | C#            |          9 |          0 |          2 |         11 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\IUserOwnedResource.cs                                             | C#            |          7 |          0 |          1 |          8 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\PolicyNames.cs                                                    | C#            |          7 |          0 |          1 |          8 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\Model\ResetPasswordDto.cs                                               | C#            |         10 |          0 |          1 |         11 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Auth\ResourceOwnerAuthorizationHandler.cs                                    | C#            |         19 |          0 |          2 |         21 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AdminController.cs                                               | C#            |        133 |          0 |         10 |        143 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AuctionController.cs                                             | C#            |        482 |          3 |         48 |        533 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\AuthController.cs                                                | C#            |        337 |          2 |         28 |        367 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\ChatController.cs                                                | C#            |        172 |          0 |         18 |        190 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\LivestreamController.cs                                          | C#            |         77 |          1 |          8 |         86 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\PaymentController.cs                                             | C#            |        279 |          0 |         21 |        300 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Controllers\ReportController.cs                                              | C#            |        152 |          0 |         18 |        170 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Data\AuthDbSeeder.cs                                                         | C#            |         46 |          0 |          7 |         53 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Data\DataContext.cs                                                          | C#            |         19 |          0 |          4 |         23 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Data\db_sheme.sql                                                            | SQL           |      1,169 |          0 |          0 |      1,169 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Data\dbtrigger.sql                                                           | SQL           |         29 |         22 |          6 |         57 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303113743_UserInfo.Designer.cs                               | C#            |        304 |          2 |        107 |        413 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303113743_UserInfo.cs                                        | C#            |        247 |          3 |         25 |        275 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303114439_Init.Designer.cs                                   | C#            |        304 |          2 |        107 |        413 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303114439_Init.cs                                            | C#            |         16 |          3 |          6 |         25 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303170547_PasswordReset.Designer.cs                          | C#            |        308 |          2 |        109 |        419 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240303170547_PasswordReset.cs                                   | C#            |         34 |          3 |          6 |         43 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309104956_EmailConfirm.Designer.cs                           | C#            |        313 |          2 |        111 |        426 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309104956_EmailConfirm.cs                                    | C#            |         34 |          3 |          5 |         42 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110353_EmailConfirmfix.Designer.cs                        | C#            |        313 |          2 |        111 |        426 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110353_EmailConfirmfix.cs                                 | C#            |         33 |          3 |          3 |         39 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110724_EmailConfirmfixv2.Designer.cs                      | C#            |        312 |          2 |        111 |        425 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110724_EmailConfirmfixv2.cs                               | C#            |         32 |          3 |          3 |         38 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309141517_auctionLikes.Designer.cs                           | C#            |        315 |          2 |        112 |        429 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309141517_auctionLikes.cs                                    | C#            |         24 |          3 |          4 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309164102_auctionComments.Designer.cs                        | C#            |        350 |          2 |        124 |        476 |
